run_id,fecha_hora,msg_id,subject,pdf_elegido,cufe,numero,fecha_factura,zip_match,estado,duracion_s,nuevos,enriquecidas,fuente,error
20260311_130624_39accecf,2026-03-11T13:16:49,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWRFvVpAAA=,Aprobado- Factura  -  HYSB 928100 - Radicado 190835 - H&S COMERCIALIZADORA SAS - Dirección administrativa y financiera -Compras - NA,fv09005163740082600004d3c.pdf,43e756cbec547dc80b361a82863c95c586d1783dc1c4d630fd20de16b4cb97c9bd7c503d09fd6ab2272df2f56d2398dc,HYSB928100,2026-03-04,,sin_match,0.575,0,0,normal,
20260311_130624_39accecf,2026-03-11T13:17:08,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWRFvVoAAA=,Aprobado- Factura  -  RH5374 - Radicado 190926 - JUAN FRANCISCO LOPEZ MONTERO - Red Férrea Atlántico - NA,fv12639652232600005374.pdf,0362a00a61fcaa2c816588ff3785aed607fbe220d0c9a8ebdd1c378c1318515f5214a4caded0bf951cc67c8c95ea371b,RH5374,2026-03-05,fv12639652232600005374.zip,ok,18.928,7,7,normal,
20260311_130624_39accecf,2026-03-11T13:17:25,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWRFvVnAAA=,Aprobado- Factura  -  N2201531 - Radicado 190922 - SERVIENTREGA SA - Cartago - Calarcá - NA,190921.pdf,62ade328b666f635df8704e1026f7793ffce347a461efcd180ccb9a18d26ac5beb47f83f6911920fdc0a3633e092edc2,N2201531,2026-03-05,Factura-N2201531.zip,ok,16.907,0,7,normal,
20260311_130624_39accecf,2026-03-11T13:17:26,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWRFvVmAAA=,Aprobado- Factura  -  FVE 435 - Radicado 190889 - SINERGING SAS - L.T. Guaymaral - NA,fv0900782914008260000000b.pdf,e79c6a6afd0bd6913932c8fb3044f6adf302a1dfa40fb3c4ee5886ce99937c4dad5c6dc7e9f4a539e142074a53a16c9b,FVE435,2026-05-03,,sin_match,0.787,0,0,normal,
20260311_130624_39accecf,2026-03-11T13:17:28,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWP5PuZAAA=,Aprobado- Factura  -  FE 1985 - Radicado 190818 - SERVICIOS LOGISTICOS DE INGENIERIA SAS - Dirección administrativa y financiera -Compras - NA,fv0900723023008260000003c.pdf,a94f2934530c268c19ade9823a7bf5caddc9a0f1b7e5b29d3b185ee5698bfa73e66aa02c5ad888085aa734d4577dc6b4,FE1985,2026-02-26,,sin_match,2.531,0,0,normal,
20260311_130624_39accecf,2026-03-11T13:17:30,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWP5PuYAAA=,Aprobado- Factura  -  FE 1975 - Radicado 190807 - SERVICIOS LOGISTICOS DE INGENIERIA SAS - 199 SC_ 277-00-FAC CADEC N 1 - NA,fv09007230230082600000032.pdf,2d3d337e05bb72aca5e27c0f53a81e47e58384d6f6df75703fc2c679fc7bb462aacfc1c5c5e11d5710578e8293592d03,FE1975,2026-02-26,,sin_match,1.68,0,0,normal,
20260311_130624_39accecf,2026-03-11T13:17:31,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWP5PuXAAA=,Aprobado- Factura  -  FVE 2113 - Radicado 190804 - JOYCO SAS BIC - Cartago - Calarcá - NA,fv0860067561008260000003c.pdf,fb799ae13e904729b98b514ffc5525371b7b038a2e2e8651312f7fe2594772b88bdbcf2156c2473aba5d274b3aad421f,FVE2113,2026-03-04,,sin_match,0.9,0,0,normal,
20260311_130624_39accecf,2026-03-11T13:17:31,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWP5PuWAAA=,Aprobado- Factura  -  FV 1235 - Radicado 190867 - SUDEN SAS - L.T. Guaymaral - NA,fv09013917410082600000025.pdf,9f714edef7828abfdaae27285188092705aea46c6598daebba335270339adebedbdf2b23933284323eb4b4eadf925878,FV1235,2026-03-04,,sin_match,0.706,0,0,normal,
20260311_130624_39accecf,2026-03-11T13:17:32,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWP5PuVAAA=,Aprobado- Factura  -  FHM6851 - Radicado 190837 - JUAN FRANCISCO LOPEZ MONTERO - Red Férrea Atlántico - NA,fv12639652232600006851.pdf,0474b99122462265d1febae90c482ee6019e225be3a9d7787f0f1c1420996922cde3a364772ed385f8cfae07ee51aff9,FHM6851,2026-03-04,,sin_match,0.368,0,0,normal,
20260311_130624_39accecf,2026-03-11T13:17:32,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWP5PuUAAA=,Aprobado- Factura  -  CO728 - Radicado 190745 - CONSULOBRAS SAS - Cartago - Calarcá - NA,800060834_CO728.pdf,1450fa0e1c6afb321f9e3d14c3c011ff09799e2eeb2c836e32e6ae65066024404158d78ea7ac40f10fd5302120e73351,CO728,2024-07-19,,sin_match,0.729,0,0,normal,
20260311_130624_39accecf,2026-03-11T13:17:33,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWP5PuTAAA=,Aprobado- Factura  -  FVE 2112 - Radicado 190803 - JOYCO SAS BIC - TM Av. 68 - NA,fv0860067561008260000003b.pdf,ef79f5b1df644cdcd1b6bc7760c4c6ded1986a4e190ffe02ca2fb542ecd2da2f0ce032d5a7b4885a4e89f20cb56ebd80,FVE2112,2026-03-04,,sin_match,0.695,0,0,normal,
20260311_130624_39accecf,2026-03-11T13:17:34,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWP5PuSAAA=,Aprobado- Factura  -  R1142941915 - Radicado 190799 - COMCEL SA - Dirección administrativa y financiera -Infraestructura - NA,fv0800153993015261142941915.pdf,ee42ace0000970811a1000970311ededaafe5202edebeed52ed02342020146781acceecacafaaadceccea8001539937c,R1142941915,2024-08-22,,sin_match,1.3,0,0,normal,
20260311_130624_39accecf,2026-03-11T13:17:35,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWP5PuRAAA=,Aprobado- Factura  -  EB 000341736232 - Radicado 190798 - ETB E.S.P. EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP - Dirección administrativa y financiera -Infraestructura - NA,Tu Factura ETB Marzo de 2026.pdf,cb60cbd3cbcbbb82bb1beaa9aeefc5c3d48db2dfa4d8d812055944817cb61e37accbcecb6c9dbccccb2980fb9cfc779e,EB000341736232,2024-12-27,,sin_match,0.981,0,0,normal,
20260311_130624_39accecf,2026-03-11T13:17:37,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWP5PuQAAA=,Aprobado- Factura  -  FCII 1189925 - Radicado 190741 - TELESENTINEL LTDA - Reserva Ventura S.A.S. - NA,ad08000148750072601189925.pdf,9202eda7aa71401000149102ceacaedaacbeeaacaebaecdd029334decbe312025adecbeeaaadaacdadecca8020aeeede,FCII1000001,2026-03-11,,sin_match,1.704,0,0,normal,
20260311_130624_39accecf,2026-03-11T13:17:38,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWP5PuPAAA=,Aprobado- Factura  -  RH5364 - Radicado 190796 - JUAN FRANCISCO LOPEZ MONTERO - Red Férrea Atlántico - NA,fv12639652232600005364.pdf,af222b6b5bc8b043e159cc28ae38600e9780336c0671b66535be632de6c08fba874f48a477514cd7cc56829e0a3e5ae2,RH5364,2026-03-03,,sin_match,0.375,0,0,normal,
